contract,block,event_name,event_data,transaction_hash,gas,gas_price,log_index,block_timestamp
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413810,Swap,"{""sender"": ""0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD"", ""recipient"": ""0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD"", ""amount0"": -602237586, ""amount1"": 602362031, ""sqrtPriceX96"": 79232385998748531450930392756, ""liquidity"": 149639972587634595, ""tick"": 1}",0x703c6bb6d5a9b193adfd5076f89f4efd431bfa8d784c59e2b82029ecf55bab10,331746,3419353425,440,2024-07-29 17:47:11
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413812,Swap,"{""sender"": ""0xfb00001B342D0093370d0036634600CB4CE68d00"", ""recipient"": ""0x9008D19f58AAbD9eD0D60971565AA8510560ab41"", ""amount0"": -4999923413, ""amount1"": 5000956761, ""sqrtPriceX96"": 79232388646283053472716041677, ""liquidity"": 149639972587634595, ""tick"": 1}",0xe81233a11da3ffde0c62efb3c12b1b70aebbbfb81ee2269910f9b56f584c280c,1087118,3641108335,134,2024-07-29 17:47:35
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413813,Swap,"{""sender"": ""0x00000000009E50a7dDb7a7B0e2ee6604fd120E49"", ""recipient"": ""0xCFe41687742Cf4926ED857410FEA9d799A85D85F"", ""amount0"": -1933473223, ""amount1"": 1933872910, ""sqrtPriceX96"": 79232389670086203936080491636, ""liquidity"": 149639972587634595, ""tick"": 1}",0x881dfadffbbc0ee9dd9cffa57b8c67050f0dc57a8b18dc5831efe76c3615d680,1135952,3803965395,404,2024-07-29 17:47:47
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413813,Swap,"{""sender"": ""0x00000000009E50a7dDb7a7B0e2ee6604fd120E49"", ""recipient"": ""0x00000000009E50a7dDb7a7B0e2ee6604fd120E49"", ""amount0"": -869023857, ""amount1"": 869203518, ""sqrtPriceX96"": 79232390130247414706583239904, ""liquidity"": 149639972587634595, ""tick"": 1}",0x881dfadffbbc0ee9dd9cffa57b8c67050f0dc57a8b18dc5831efe76c3615d680,1135952,3803965395,424,2024-07-29 17:47:47
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413816,Swap,"{""sender"": ""0xe6b1DE575e7e610889ea21024834e120f92033a3"", ""recipient"": ""0xe6b1DE575e7e610889ea21024834e120f92033a3"", ""amount0"": -3316443529, ""amount1"": 3317129256, ""sqrtPriceX96"": 79232391886354223733302009161, ""liquidity"": 149639972587634595, ""tick"": 1}",0xed3f006afba13069f3b4fec636d794fd2b603d7b22a621c52f1de51cf4bf77df,1150000,3327306713,559,2024-07-29 17:48:23
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413843,Swap,"{""sender"": ""0xDef1C0ded9bec7F1a1670819833240f027b25EfF"", ""recipient"": ""0x74de5d4FCbf63E00296fd95d33236B9794016631"", ""amount0"": -1421735026, ""amount1"": 1422029038, ""sqrtPriceX96"": 79232392639184361912450612460, ""liquidity"": 149639972587634595, ""tick"": 1}",0x97773c8464e2ef6d9908e51340dd4a3f48611185b8577ca145d5d740430afffe,519245,6400175856,56,2024-07-29 17:53:47
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413846,Swap,"{""sender"": ""0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD"", ""recipient"": ""0x6DCD15A0dbeFd0700063a4445382D3506391A41A"", ""amount0"": 4207810000, ""amount1"": -4207838391, ""sqrtPriceX96"": 79232390411308359404929768919, ""liquidity"": 149639972587634595, ""tick"": 1}",0xa96bf190387fb56679f5c4d96c080b57e370ee9d4a81464cdf8f5c7074fa5a61,191424,5307462817,105,2024-07-29 17:54:23
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413848,Swap,"{""sender"": ""0x1111111254EEB25477B68fb85Ed929f73A960582"", ""recipient"": ""0x663DC15D3C1aC63ff12E45Ab68FeA3F0a883C251"", ""amount0"": -2656542569, ""amount1"": 2657091859, ""sqrtPriceX96"": 79232391817987672860733201969, ""liquidity"": 149639972587634595, ""tick"": 1}",0x6cc54573a5de091d220a46233023750ea0c980a6154c2d426c5026e9bf5aabed,476009,4115812437,154,2024-07-29 17:54:47
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413862,Swap,"{""sender"": ""0x1111111254EEB25477B68fb85Ed929f73A960582"", ""recipient"": ""0x74de5d4FCbf63E00296fd95d33236B9794016631"", ""amount0"": 18833750000, ""amount1"": -18833874848, ""sqrtPriceX96"": 79232381846231654523876800912, ""liquidity"": 149639972587634595, ""tick"": 1}",0x51a07cae0d74ac09156801d4f3b6352d7c916495cdd5fb8c3943c48af830c0ff,259069,4658215954,443,2024-07-29 17:57:35
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413863,Swap,"{""sender"": ""0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD"", ""recipient"": ""0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD"", ""amount0"": -64257267064, ""amount1"": 64270566001, ""sqrtPriceX96"": 79232415871429307595560952242, ""liquidity"": 149639972587634595, ""tick"": 1}",0x5f3601ab65d4b5959e202101d1a1aab714c96bb9329eba44b6ab9ac8856e4837,717367,4996977922,29,2024-07-29 17:57:47
